,user,eigen_centrality,page_centrality,engagement_comments,engagement_likes,authenticity,interaction
172,slowcosmetiqueofficiel,0.03692057456334109,6.782716727803679e-06,0.0008692283239291107,0.05535122656198465,0.7101656878193193,0.01176659429351522
173,alicesgardenfr,0.04093262758637704,0.0,0.0026993176125075583,0.6222433444516413,0.5837690397746265,0.01684648237475395
174,mespetitespaillettes,0.0,6.779732936774057e-06,0.0027201715638529565,0.2194444929649164,0.6387993601680754,0.011941168099672337
175,mai_hua,0.0,6.779684364632177e-06,0.0004960109215696335,0.2683664249319289,0.3598732273313279,0.029240873405256988
176,tayrona.yoga,0.040932625387697597,0.0,0.00753465943339361,0.33129897584727575,0.6982106193000048,0.018861854940778584
177,douxgood,0.02193575635698024,6.7741658823797714e-06,0.002718676122931442,0.8027890663969544,0.6406973690493244,0.007879324316400843
178,leclercvoyages,0.040932625387697597,0.0,0.028161921966818246,0.4236449538624431,0.5668003628897484,0.024126128309499038
179,goldenwendyleblog,0.01899693836240968,6.773232647111389e-06,0.003946889109460169,0.02434078127944558,0.7653571599102327,0.042314789682520615
180,emmaetchloe,0.033981713694521076,6.772902057061757e-06,0.0010325582611196069,0.0819896314222724,0.6659146254118322,0.004507698959636504
181,maman_louve,0.0,6.764914889289478e-06,0.0013512075665435535,0.0822177927913513,0.7306415031275368,0.09428574367876155
182,lesjuspaf,0.040932624288357866,0.0,0.007569941999317639,0.1348063446964165,0.6754285441436281,0.013444597958971795
183,poupeerousse,0.0,6.757165399759919e-06,0.00350455854797662,0.056893933323332674,0.542156090340448,0.024029482144486865
184,texto.officiel,0.040932624288357866,0.0,0.00011115917994568223,0.014940611412361896,0.6417836508618633,0.014332221059047124
185,action.france,0.0,6.749196151957968e-06,0.0017849922096577623,0.010688443821146202,0.6982106193000048,0.008503713404381231
186,melanie.bartoli,0.040932624288357866,0.0,0.0012720954777416121,0.17306917068648572,0.6579883493291315,0.030516758734221414
187,punkygeraldine,0.0,6.748995427916569e-06,0.0003294834827829027,0.03410989934978024,0.5570212686134475,0.012529916917529834
188,lalottes,0.0,6.744652669400516e-06,0.09637715037211034,0.17219456328630353,0.7543928759012558,0.2677867382394699
189,la_canopee,0.021935758555659702,6.738560225831768e-06,0.003298577289491829,0.04373636540823673,0.34896504798739447,0.04507276800900281
190,ninaturelle,0.025950271314696405,6.736227311449953e-06,0.0027985715618977875,165.02559493049228,0.6566573556797021,0.07323139067942756
191,adenorah,0.0,6.734908177776736e-06,0.0013450083895297647,0.004718250265121458,0.5662333476579288,0.027659019915955266
192,lepetitsouk,0.0,6.732340496682124e-06,0.0018451838066669125,0.043192702636470674,0.6650849925989591,0.013369593173352694
193,nolwenn_creme,0.0,6.725419031719938e-06,0.010872536593851736,0.04283310281110042,0.6198826301426216,0.06820466153662609
194,daphnenarcy,0.01097029782523543,6.722119210938574e-06,0.0003993022642954537,0.47137441126503704,0.5325426952521924,0.02180561526858841
195,navy.paris,0.02193577724443512,6.710155607330572e-06,0.0038977733855786634,0.03683348423020305,0.6982106193000048,0.0305613649766719
196,prescriptionlab_fr,0.029967207531522842,6.708740856150828e-06,0.00018183786152824118,0.5743747495183859,0.6286846042432636,0.007193508285670825
197,aimeskincare,0.0,6.694559891205378e-06,0.004817773251722906,0.12155967080507239,0.41008332139617065,0.019533615748523296
198,blackwhite_loving,0.014982417907994835,6.688616271785898e-06,0.03631346240248335,0.1950662572713496,0.6332008308265292,0.02888078932554232
199,monsieurmarguerite,0.03692052839107249,6.071211866760336e-06,0.0038161314672973214,0.10134800576216127,0.5745416129494343,0.008714494557077353
200,__maryb__,0.03692051959635467,0.0,0.0033243501020317626,4.2183341910574566,0.5892130881861412,0.03089939749531564
201,joannsfar,0.0,6.682879952853867e-06,0.0067083146629430095,0.09121671969087526,0.7451236690063509,0.020321350453133543
